Blog	four	looking	second	available	here	k	music	until	example	want	feature	wrong	yourself	series	re	wasn	service	needed	project	tech	came	saying	best	men	asked	much	life	worked	things	had	possible	right	old	people	easy	google	support	happy	inside	later	time	minute	leave	team	along	love	working	following	awesome	such	data	so	years	didn	internet	million	quite	open	future	san	say	saw	note	take	drive	going	where	sites	many	photos	single	summer	being	around	traffic	world	power	favorite	mean	other	her	complete	ad	am	original	tv	th	large	small	past	hours	experience	via	company	learn	states	sense	its	always	found	really	obama	sell	also	play	plan	sometimes	cover	set	see	movie	last	whole	community	recent	person	amp	readers	couple	d	continue	anything	into	link	line	us	ago	having	send	try	video	let	great	makes	tools	next	process	high	move	doing	could	start	system	face	fact	should	hope	means	stuff	email	co	ve	android	off	less	web	five	become	announced	told	word	work	law	order	office	then	them	network	another	do	away	com	information	launched	hand	photo	night	post	months	way	update	together	cost	change	live	car	write	product	remember	still	non	half	now	year	space	shows	care	than	online	only	between	article	comes	these	media	thinking	real	read	early	using	business	lot	since	month	very	learned	family	takes	site	history	help	soon	actually	feel	beyond	event	issue	reason	put	american	mobile	clear	pretty	during	x	close	won	probably	both	else	look	while	used	user	game	some	run	step	within	similar	doesn	go	does	facebook	download	click	started	control	links	software	including	him	front	ask	times	long	need	able	based	course	written	key	problem	well	page	twitter	home	he	stories	piece	star	friends	companies	likely	even	tips	ever	never	call	tell	give	amazing	answer	before	personal	better	weeks	went	side	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	changes	left	human	yes	yet	deal	down	daily	did	box	making	may	man	maybe	talk	nbsp	group	interesting	policy	morning	after	thing	think	first	fast	little	anyone	were	performance	especially	shot	show	behind	black	get	nearly	enough	reading	across	according	those	different	same	running	money	audience	trying	videos	again	important	chris	u	forget	public	search	published	two	share	needs	coming	through	good	everyone	house	hard	idea	members	done	least	part	believe	b	build	most	find	please	point	simple	create	fun	itself	development	spent	spend	big	bit	often	back	either	use	forward	entire	access	body	others	private	names	ll	day	text	national	taking	gone	value	almost	thought	latest	add	happens	ways	buy	minutes	special	starting	under	every	changed	would	phone	me	keep	end	over	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	amazon	report	full	however	news	been	quickly	several	social	everything	head	check	no	focus	cool	level	posts	quick	says	goes	water	today	platform	happened	name	she	turn	place	white	released	any	ideas	sure	state	review	come	case	myself	someone	week	without	when	seems	blog	there	follow	program	far	list	design	version	known	rather	short	might	number	story	kind	added	nothing	his	art	recently	attention	questions	customers	question	called	nice	users	helping	once	issues	include	app	few	women	something	six	instead	light	looks	our	york	g	july	which	who	why	local	ones	view	job	will	gets	know	press	because	getting	own	apps	made	record	below	percent	book	understand
ongoing by Tim Bray	1	0	0	0	4	1	0	0	0	0	0	2	0	0	6	0	0	0	0	1	1	0	2	1	1	0	2	0	1	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	7	1	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	3	0	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	4	0	0	0	1	1	1	1	0	0	2	0	0	2	0	1	2	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	4	0	0	1	1	0	0	0	1	1	5	0	0	0	3	1	0	0	2	0	2	0	0	0	0	0	2	1	1	0	0	0	0	1	2	0	0	0	1	0	0	1	2	0	0	0	1	1	0	0	0	0	1	0	0	0	6	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	3	0	0	0	0	0	0	1	1	0	2	0	0	1	1	5	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	2	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	5	0	3	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	7	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	2	0	0	2	0
The Viral Garden	5	10	3	0	26	1	6	0	4	34	0	4	4	9	4	8	5	2	4	0	1	4	8	0	1	8	2	5	6	36	1	7	1	73	2	0	2	1	0	4	25	1	4	5	4	4	1	23	3	8	0	70	6	14	0	0	1	2	1	3	7	2	0	7	1	11	15	8	23	0	3	2	18	7	9	4	5	2	8	17	5	2	11	26	1	1	9	3	5	1	4	1	9	13	8	0	3	12	6	12	9	0	2	10	2	0	8	4	0	24	0	14	1	10	5	5	3	8	6	6	1	1	10	20	2	16	5	3	1	4	0	10	13	3	7	10	1	1	2	14	8	7	0	0	3	17	2	7	3	3	2	20	0	6	5	1	0	11	0	3	1	17	0	1	0	22	50	6	8	39	3	22	6	3	1	0	3	41	5	28	2	4	2	3	3	0	9	2	3	14	0	2	22	18	6	2	1	9	8	16	2	2	2	26	122	4	2	9	2	31	13	14	3	1	25	5	0	1	11	1	11	3	10	2	0	28	1	10	4	0	0	0	3	8	0	5	11	11	6	8	1	8	1	4	1	20	0	0	2	3	3	15	5	10	0	3	14	0	8	0	1	3	1	3	1	8	8	2	0	3	5	5	5	14	8	71	1	17	3	0	0	11	29	7	18	2	3	10	1	11	10	5	2	9	6	10	5	7	1	15	7	0	2	0	4	14	16	2	3	6	13	0	0	3	3	69	20	1	9	1	1	1	1	2	0	11	0	4	12	1	4	2	0	5	4	2	0	8	13	30	26	0	3	0	33	0	1	0	5	1	1	24	0	5	8	0	2	10	4	16	0	3	8	7	0	3	5	1	0	1	0	3	1	8	8	6	12	4	16	9	0	1	15	5	3	6	7	1	2	6	24	9	3	6	2	11	2	7	0	0	2	13	8	9	19	2	20	2	1	1	0	11	0	2	17	21	0	0	4	0	11	3	11	1	10	2	6	2	1	1	0	1	13	0	30	0	56	3	5	14	5	3	9	6	13	8	2	4	6	8	4	5	0	0	0	3	1	1	10	1	10	134	0	1	7	19	2	5	5	7	2	0	3	0	4	1	4	10	1	2	3	0	1	8	6	11	1	0	7	8	3	14	7	2	40	3	46	41	17	0	1	12	0	0	1	1	1	7	5	2	0	1	2	8	0	6	8	6	19	0	4	2	10	3	3	2	3	0	22	0	10	0	5	0	1	6	2	0	1	21	15	24	0	4	5	1	50	1	18	0	40	7	25	0	7	1	1	0	0	13
SpikedHumor - Today's Videos and Pictures	0	0	6	0	102	0	2	1	0	1	1	0	0	0	2	0	0	0	2	0	0	1	6	0	0	0	2	0	1	5	0	0	2	3	0	1	1	1	0	0	4	0	0	1	0	1	0	1	2	1	0	2	2	0	0	1	1	0	2	0	1	1	0	1	0	0	0	0	2	2	1	0	1	4	0	1	0	0	1	2	0	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	7	0	2	1	3	0	3	3	0	0	0	4	4	1	4	1	0	0	1	0	0	1	1	0	0	2	0	0	2	2	1	0	0	15	2	1	1	0	0	0	0	1	0	1	0	1	4	1	1	1	1	0	0	0	2	0	3	0	0	0	0	0	0	1	2	0	1	0	2	3	1	3	2	1	6	0	0	0	0	1	3	0	2	0	1	0	1	2	4	0	0	0	2	1	1	0	0	3	0	0	1	0	0	2	1	0	1	0	0	4	0	1	4	0	0	1	0	0	0	2	4	1	1	0	0	1	3	0	0	0	2	3	3	0	0	0	0	1	0	0	2	0	1	5	3	0	0	1	9	0	0	0	0	1	2	2	0	0	0	1	0	0	0	0	1	0	0	1	2	1	1	0	0	1	1	3	0	1	0	0	7	1	0	0	0	0	0	5	0	3	1	1	1	0	1	0	2	1	0	0	2	2	0	0	0	0	0	0	3	1	0	0	0	3	0	0	0	3	1	2	0	2	2	0	0	3	3	0	2	0	3	1	4	2	2	0	1	2	1	1	3	0	2	2	0	1	0	0	2	0	2	5	0	2	4	0	0	0	1	1	2	0	0	1	1	0	0	4	1	0	0	3	0	1	1	0	0	1	0	1	0	2	2	2	0	0	0	1	0	7	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	3	0	2	2	5	2	3	0	0	0	1	1	0	5	0	2	2	0	0	0	102	0	1	2	0	2	3	0	1	0	1	2	0	1	0	5	0	0	0	1	0	2	0	0	0	0	3	0	0	1	0	2	2	0	0	0	0	0	2	1	0	0	4	0	0	1	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	9	0	0	0	1	0	0	1	0	0	0	2	0	0	3	1	1	2	0	0	0	1	1	0	1	0	0	3	4	1	0	1	0	5	2	4	0	3	0	0	1	0	0	0	1	0	1
Home - SearchEngineWatch	0	0	0	2	1	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	3	0	31	0	0	0	1	2	0	0	0	1	0	0	0	0	0	11	1	0	0	2	0	0	0	0	0	0	1	0	0	2	0	1	1	5	0	0	2	1	1	7	0	0	0	0	2	0	0	5	0	0	0	0	0	1	0	0	2	0	0	0	0	1	6	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	3	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	1	1	0	1	1	1	4	0	0	0	0	0	0	1	0	0	1	0	3	4	0	1	0	3	3	1	0	0	2	1	0	0	0	0	1	2	2	1	0	0	0	0	0	0	2	1	2	0	0	0	2	0	0	0	0	0	12	0	1	0	0	0	0	0	1	0	1	2	0	6	0	3	0	0	0	0	0	0	0	3	0	3	0	0	2	0	0	0	0	4	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	15	1	2	0	0	0	1	1	2	0	0	0	1	0	2	1	2	2	2	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	2	0	1	0	0	0	2	2	0	0	0	0	2	0	0	1	0	1	2	2	0	0	2	2	0	1	1	0	0	6	0	0	0	4	0	1	0	0	16	0	2	1	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	2	3	0	0	1	1	0	0	0	0	2	2	0	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	2	0	0	3	1	0	0	1	2	1	0	0	0	0	0	1	2	0	1	0	0	0	0	2	0	3	0	0	3	0	0	0	0	1	0	1	0	0	3	1	0	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	2	0	0	0	3	0	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	4	0	1	4	0	0	2	5	0	0	0	0	0	0	1	3	0	0	2	0	0
Neil Gaiman's Journal	4	9	4	5	57	3	7	9	0	20	0	4	7	4	14	13	2	6	9	0	16	14	10	2	11	25	16	3	45	74	2	12	10	77	3	2	6	14	1	5	40	2	3	1	6	16	5	4	0	5	0	44	15	17	2	5	7	3	0	5	13	4	4	10	2	35	26	0	10	5	1	0	22	16	1	24	2	0	4	16	39	3	0	23	0	5	28	0	12	1	6	3	2	1	4	2	2	18	7	8	28	0	0	34	1	3	4	46	4	35	3	25	10	1	3	4	5	2	7	33	0	3	28	16	2	53	13	9	1	4	8	11	8	4	0	16	3	2	4	16	31	5	2	10	1	16	9	3	5	5	7	28	4	12	1	2	5	7	3	18	5	18	0	11	0	33	43	0	8	42	8	30	4	1	11	15	25	6	7	14	1	10	1	2	3	1	16	4	5	17	0	6	29	40	3	7	0	9	7	33	14	6	4	9	5	3	6	31	3	4	4	5	8	3	28	6	17	3	5	4	9	1	8	7	0	7	18	1	22	7	0	2	7	3	5	2	11	9	10	6	11	16	1	0	3	39	13	2	3	1	8	25	7	6	1	6	4	0	3	0	5	34	3	10	4	14	12	4	0	4	5	1	9	10	5	13	3	75	19	4	4	9	0	0	13	0	14	17	3	8	2	10	1	21	2	3	14	19	4	2	7	1	4	3	9	13	49	3	2	1	28	1	0	10	4	51	33	0	6	4	5	5	4	7	1	21	2	12	9	8	2	18	260	1	4	0	7	15	15	22	36	2	8	8	55	1	5	0	15	4	19	26	3	8	9	4	0	6	7	8	3	1	3	9	2	13	7	4	0	2	7	1	8	30	3	6	10	11	26	1	16	7	9	1	13	2	15	4	7	1	20	10	6	4	2	0	8	3	0	6	3	7	7	2	23	2	9	4	3	0	2	1	1	1	28	28	5	2	3	4	0	7	11	1	0	2	2	7	3	7	1	4	8	0	49	12	115	6	18	28	25	10	18	7	21	15	14	3	14	9	9	4	5	12	3	7	0	4	36	0	1	3	13	2	1	17	0	4	0	1	2	4	3	3	9	1	9	7	53	3	13	5	2	10	3	6	3	4	20	3	9	7	16	6	54	7	16	60	2	1	4	6	3	9	6	4	11	9	2	27	11	2	5	44	90	1	5	9	0	3	18	10	0	1	6	9	2	2	18	1	18	3	5	3	2	23	18	0	6	41	57	15	5	2	2	1	59	2	21	8	39	10	6	3	14	0	0	0	49	2
456 Berea Street	0	0	0	0	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	1	0	0	2	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	5	5	2	1	1	0	2	0	0	0	0	0	0	1	0	1	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	8	3	1	3	0	0	1	0	0	4	0	3	4	0	1	0	0	1	0	0	0	2	4	0	0	1	1	0	1	2	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	5	0	1	2	6	0	0	0	0	0	2	0	1	0	1	3	0	1	6	0	0	0	0	0	0	0	3	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	1	3	0	1	0	10	0	8	0	1	4	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	6	2	4	0	0	5	0	0	0	0	1	1	0	0	0	0	2	0	1	0	1	0	0	0	1	1	5	0	0	1	0	0	6	4	0	0	0	1	0	0	0	0	0	1	4	0	2	1	0	0	1	0	1	2	0	0	0	0	0	3	4	1	1	0	1	1	0	1	0	0	0	1	0	1	0	9	5	0	0	0	0	0	0	4	0	0	1	3	5	0	1	1	0	0	0	0	0	3	0	3	0	0	0	1	3	0	0	0	1	1	0	1	0	1	0	0	1	1	7	2	0	0	0	1	0	0	1	0	0	1	0	0	0	2	1	2	0	1	2	0	0	0	0	0	1	3	2	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	5	2	1	3	9	0	2	0	0	0	0	3	0	0	10	0	0	0	2	0	4	0	2	2	1	0	0	0	0	0	3	0	0	0	2	0	0	3	0	2	0	0	1	1	1	2	3	0	0	1	0	0	2	12	3	1	4	0	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	2	0	0	1	1	0	0	0	0	9	0	0	7	0	0	0	1	4	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	3	1	0	0	1	0	1	5	1	0	0	1	1	1	0	0	0	1	2	0	0
Signal vs. Noise	4	2	0	4	9	5	31	3	0	9	1	0	3	0	13	0	2	2	1	5	0	0	5	0	2	13	3	0	8	11	6	3	3	13	0	6	1	4	1	0	16	0	0	3	1	3	5	2	2	3	11	26	6	2	0	0	3	4	0	0	2	2	1	4	2	11	5	1	10	0	1	1	0	7	2	2	0	3	0	6	0	1	6	2	1	0	0	2	4	1	1	0	3	2	2	1	0	2	7	0	7	0	0	15	9	1	2	2	3	5	0	3	2	0	1	1	2	0	2	9	0	4	9	0	1	14	0	6	0	6	1	2	22	2	3	5	2	4	0	6	7	7	5	0	1	6	1	1	5	6	1	19	0	7	2	2	2	1	0	1	1	21	1	2	5	6	10	0	5	10	3	6	6	0	2	0	0	1	1	10	1	2	0	0	5	8	1	8	1	9	4	0	5	2	1	6	2	5	1	6	1	0	3	9	6	3	0	5	1	5	5	9	3	2	8	1	1	3	1	0	8	0	4	2	0	0	0	1	2	0	1	2	3	0	0	2	0	3	5	3	5	2	6	1	3	15	2	2	2	4	9	4	3	1	2	8	2	1	1	7	1	0	0	1	2	7	10	4	0	7	2	1	2	7	13	3	3	3	0	0	0	1	1	1	12	0	1	3	2	0	3	1	2	2	0	1	1	1	2	1	4	3	2	0	0	17	13	0	1	1	1	2	1	2	2	28	18	0	0	0	0	3	1	3	0	2	3	1	1	0	1	0	0	0	0	0	0	3	4	6	8	3	4	2	10	3	2	0	2	2	0	18	1	5	1	0	0	18	10	2	2	2	3	6	1	3	0	1	1	0	2	0	2	12	5	1	1	9	7	4	0	8	4	3	5	0	4	3	5	2	14	9	3	5	1	1	6	2	1	5	3	3	2	4	4	3	10	2	0	2	0	3	2	1	14	3	0	0	2	1	2	2	1	2	2	1	0	5	0	1	0	4	6	0	7	5	12	6	2	3	1	4	3	1	1	2	1	3	6	1	2	2	19	0	5	4	2	1	13	1	0	3	5	1	2	11	2	0	1	1	0	0	4	0	2	2	1	2	1	4	2	0	2	15	0	0	2	1	2	2	0	1	2	5	21	0	3	13	4	1	1	0	0	2	2	1	0	6	2	0	0	0	2	6	0	5	4	3	4	3	0	2	9	3	1	0	2	6	2	0	12	0	2	0	3	23	2	4	0	9	9	1	2	1	1	2	6	0	7	1	4	3	7	5	4	2	0	0	1	2
Joel on Software	4	0	1	4	7	0	1	3	4	25	14	0	2	1	36	1	0	3	6	0	2	0	5	0	2	8	1	3	22	12	3	6	4	45	4	3	1	3	2	1	20	5	1	11	0	4	5	0	3	2	0	59	7	9	5	6	2	10	3	1	3	2	0	7	10	11	11	4	7	0	5	0	6	11	1	10	1	0	2	15	0	2	0	2	2	0	2	3	4	0	4	2	0	10	2	0	1	2	4	6	15	0	3	4	1	2	6	0	4	8	1	2	3	2	0	1	6	1	1	3	4	2	17	0	4	15	0	1	0	3	0	11	26	10	6	6	12	1	4	4	16	8	15	1	5	8	1	2	5	2	2	7	2	6	2	4	3	0	0	1	2	22	1	1	5	9	30	4	0	25	1	0	0	3	0	0	0	4	9	15	1	3	2	2	1	3	2	14	1	8	5	1	12	7	1	1	2	18	3	7	4	0	1	10	0	3	2	5	3	15	8	16	8	3	9	0	2	0	6	0	9	2	12	4	0	1	0	1	2	0	0	0	4	1	1	2	1	2	10	4	7	9	6	5	1	23	1	5	1	2	9	13	2	0	0	2	4	9	0	44	0	1	0	18	1	6	15	3	2	2	2	0	2	6	2	2	1	1	0	0	0	0	12	3	21	0	2	10	4	3	2	2	6	5	1	12	1	2	3	1	1	16	3	1	2	22	7	4	5	5	3	0	0	9	0	33	21	2	1	2	2	2	0	8	0	5	0	6	7	0	3	1	22	1	2	0	0	5	8	11	19	3	10	3	13	0	1	1	1	1	0	32	2	3	2	0	0	14	9	4	3	21	0	8	0	0	1	1	0	1	4	6	0	12	1	3	1	3	6	5	0	5	8	3	6	1	2	2	1	8	13	11	2	7	2	2	0	3	4	3	2	14	8	5	5	4	11	0	1	1	0	2	2	1	10	10	0	0	1	2	6	3	7	0	7	1	2	4	4	0	5	1	24	1	12	1	12	7	2	8	6	5	10	11	4	6	9	2	9	2	1	6	1	1	1	4	0	3	10	3	2	2	12	0	2	6	0	1	1	1	0	1	0	2	9	0	0	0	0	1	4	0	0	19	9	7	0	1	5	3	1	1	1	5	22	2	5	23	1	2	0	6	2	10	2	1	3	17	7	2	10	3	0	0	16	1	0	6	6	2	8	1	13	1	2	0	0	3	9	0	9	3	0	1	1	32	1	0	0	32	19	9	0	0	3	18	19	1	12	0	19	9	8	0	4	0	0	0	0	3
Techdirt.	2	4	16	2	27	1	6	3	1	7	4	8	2	0	24	3	3	1	1	4	4	7	3	0	1	18	2	6	12	25	2	15	2	25	2	1	6	8	0	9	11	2	3	3	3	0	6	1	1	19	14	61	22	11	18	2	9	5	4	0	9	0	3	12	1	30	5	1	16	1	3	0	20	5	0	2	2	0	2	42	0	3	1	1	7	3	7	0	1	7	1	2	7	18	1	7	2	57	6	18	23	5	2	28	5	7	1	4	10	13	0	11	5	5	6	9	0	1	1	4	5	7	12	4	7	15	7	5	0	8	3	6	7	8	3	3	13	2	3	4	24	2	15	1	14	27	1	5	4	24	3	16	0	17	11	2	2	4	1	6	3	19	58	8	17	21	18	1	6	25	11	10	5	0	5	1	0	7	9	17	0	1	0	3	3	0	3	0	2	27	3	0	14	7	1	9	2	42	3	35	4	5	5	25	2	1	7	2	1	5	11	4	11	2	17	0	0	2	14	2	5	6	21	1	3	4	7	4	6	1	2	18	14	3	0	4	5	7	18	9	7	18	18	9	0	31	3	2	3	4	12	16	15	14	0	0	1	3	1	4	6	7	2	1	4	12	12	7	3	8	6	7	5	26	1	1	4	64	0	0	3	0	27	14	43	0	7	7	3	2	1	3	3	16	4	4	6	3	3	18	9	0	8	0	4	12	13	6	3	2	16	21	3	3	2	58	15	0	0	0	6	6	7	27	9	12	0	12	27	3	0	1	0	1	1	7	6	20	7	7	42	0	5	3	26	1	4	0	3	3	0	14	3	6	0	2	2	19	7	14	4	17	0	2	0	6	7	0	6	1	45	3	11	19	0	3	1	9	15	9	6	2	6	1	1	10	11	4	2	1	14	5	0	18	1	8	1	6	0	0	3	10	8	2	19	4	19	5	3	14	2	3	2	2	6	8	2	4	4	2	0	7	3	3	1	0	3	0	0	2	0	24	4	2	36	17	6	9	12	29	2	3	4	10	3	6	6	3	9	5	4	10	0	0	3	0	8	8	43	3	4	3	6	2	1	47	3	3	2	0	1	3	7	0	8	0	2	5	0	2	4	3	2	22	0	3	34	0	13	36	1	5	6	12	30	15	0	56	2	27	9	1	0	5	3	12	1	6	3	27	7	3	7	44	3	4	1	4	0	11	9	0	7	0	1	6	4	0	9	0	7	8	3	4	1	16	1	2	6	43	34	14	3	3	0	1	34	6	15	3	36	0	29	2	17	4	0	1	7	7
Boing Boing	0	0	0	0	1	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	2	1	0	0	0	0	3	4	1	1	0	0	1	0	0	2	0	0	2	0	1	1	0	0	2	2	0	2	0	0	1	0	0	0	2	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	3	0	1	1	2	0	0	0	0	0	1	1	0	0	0	0	0	2	1	2	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	2	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	2	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	5	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	2	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	2	0	1	8	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0
flagrantdisregard	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	5	0	0	2	0	2	1	0	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	3	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
